[2025-03-18 11:35:46] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:45, systemid=1, alt=-0.042, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0, ground_speed=0.0, wind_vel=0.0, airspeed=0.0, roll=0.0, pitch=0.0, yaw=0.0, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:47] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:45, systemid=1, alt=-0.042, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0, ground_speed=0.0, wind_vel=0.0, airspeed=0.0, roll=0.0, pitch=0.0, yaw=0.0, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:48] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:45, systemid=1, alt=-0.042, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0, ground_speed=0.0, wind_vel=0.0, airspeed=0.0, roll=0.0, pitch=0.0, yaw=0.0, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:49] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:49, systemid=1, alt=-0.045, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.0060607838, ground_speed=0.031494416, wind_vel=0.0, airspeed=0.3021903, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:50] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:50, systemid=1, alt=-0.043, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.004628507, ground_speed=0.03167317, wind_vel=0.0, airspeed=0.55381626, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:51] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:51, systemid=1, alt=-0.052, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.0052176304, ground_speed=0.031509895, wind_vel=0.0, airspeed=0.58293986, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:52] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:52, systemid=1, alt=-0.01, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.0040562367, ground_speed=0.03165465, wind_vel=0.0, airspeed=0.5992583, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:53] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:53, systemid=1, alt=0.027, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.0040654186, ground_speed=0.031661272, wind_vel=0.0, airspeed=0.8841414, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:54] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:54, systemid=1, alt=0.073, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.010473865, ground_speed=0.031529978, wind_vel=0.0, airspeed=1.103434, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:55] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:55, systemid=1, alt=0.105, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.011770699, ground_speed=0.031326022, wind_vel=0.0, airspeed=0.5575663, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:56] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:56, systemid=1, alt=0.106, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0087141, ground_speed=0.0312532, wind_vel=0.0, airspeed=0.9274624, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:57] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:57, systemid=1, alt=0.09, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0068623535, ground_speed=0.03150946, wind_vel=0.0, airspeed=0.77640355, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:58] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:58, systemid=1, alt=0.012, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.008549233, ground_speed=0.031521153, wind_vel=0.0, airspeed=0.31460187, roll=0.08, pitch=0.07, yaw=3.86, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:35:59] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:59, systemid=1, alt=0.035, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.01196606, ground_speed=0.03150024, wind_vel=0.0, airspeed=0.44635645, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:00] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:00, systemid=1, alt=0.061, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.013613444, ground_speed=0.03133601, wind_vel=0.0, airspeed=1.0385635, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:01] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:01, systemid=1, alt=0.067, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.00982936, ground_speed=0.03149514, wind_vel=0.0, airspeed=0.68309283, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:02] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:02, systemid=1, alt=0.071, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.009521853, ground_speed=0.031815276, wind_vel=0.0, airspeed=0.6026287, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:03] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:03, systemid=1, alt=0.082, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.010307037, ground_speed=0.031633813, wind_vel=0.0, airspeed=0.16718741, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:04] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:04, systemid=1, alt=0.017, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.011139938, ground_speed=0.03153483, wind_vel=0.0, airspeed=0.64001906, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:05] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:05, systemid=1, alt=0.049, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.013870728, ground_speed=0.031440485, wind_vel=0.0, airspeed=0.67095774, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:06] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:06, systemid=1, alt=0.052, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.012350175, ground_speed=0.03141517, wind_vel=0.0, airspeed=0.7252697, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:07] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:07, systemid=1, alt=0.059, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.009443426, ground_speed=0.03167174, wind_vel=0.0, airspeed=0.72379756, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:08] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:08, systemid=1, alt=0.066, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.008399578, ground_speed=0.031543165, wind_vel=0.0, airspeed=0.93240017, roll=0.08, pitch=0.06, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:09] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:09, systemid=1, alt=0.066, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.008024789, ground_speed=0.031350702, wind_vel=0.0, airspeed=0.53723, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:10] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:10, systemid=1, alt=0.014, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.008308305, ground_speed=0.031272124, wind_vel=0.0, airspeed=0.49645635, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:11] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:11, systemid=1, alt=0.041, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.010842675, ground_speed=0.031399284, wind_vel=0.0, airspeed=0.13965867, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:12] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:12, systemid=1, alt=0.06, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.010767958, ground_speed=0.03141151, wind_vel=0.0, airspeed=0.24557671, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:13] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:13, systemid=1, alt=0.085, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.012044354, ground_speed=0.031308714, wind_vel=0.0, airspeed=0.8200133, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:14] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:14, systemid=1, alt=0.107, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0124253165, ground_speed=0.031236302, wind_vel=0.0, airspeed=0.80135185, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:15] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:15, systemid=1, alt=0.098, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.009972254, ground_speed=0.031448957, wind_vel=0.0, airspeed=0.61473197, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
